comment,sentiment
款式跟图片一样质量挺好的穿着舒适；大小合适,1
衣服不错穿上很舒服老公很喜欢,1
衣服洗一次就小一点洗了三四次就穿不了当抹布用了,0
物流跟龟速一样产品不错很好摸着有点柔软啊快递慢啊,1
做人能不能诚信以后该怎么做生意,0
面料很舒服 款式挺好看的不错的裤子,1
质量不错外形好看已经买了好多件了这次看见活动买的之前还有好几条新的没穿,1
没看买大了一号懒得换了不过衣服还可以,1
质量一般就是上面有个洞,0
非常不满意 坑 爹的 换货坑我送货费 一次性买的三件衣服 一起换的货 为啥要付三次的送货费 你有不是分三次来拿货的,0
我要的尺码是31卖家给我发了个30我也是醉了而且质量不怎么样谁买谁上当,0
很合适面料也很舒服老公很喜欢,1
差评超级差啥破玩意儿服务态度还不好跟说的根本不符大骗子,0
衣服不错款式也适合年轻人穿,1
下次不买这个牌子也不在京东买东西了,0
穿一次扣子就掉了,0
麻痹标的比正常的大以后不买了,0
裤子收到了质量非常好做工精致面料很柔软摸起来佷舒服颜色非常正穿起来挺舒服得物流快商家服务也很好很愉快得一次购物以后买裤子就这家了祝老板生意兴隆,1
穿起来不舒服手工太粗糙,0
觉得自己眼光还是不错的裤子很好很不错推荐,1
比上次买的差点,0
质量不错穿起来显得整个人有精神气不错会推荐朋友购买,1
裤子很合身快递速度也很快值得赞一个,1
给我哥哥买的是送给他的生日礼物挑了好长时间选了这家还以为他会不喜欢牛仔可是他穿上之后显得腿又长又直直夸我眼光好嘿嘿开心,1
歪的其他的不多说了裤子有异味,0
质量很好 与图片一致 穿起来也很舒服 很喜欢,1
东西收到后 小了 又换了个大点的 服务蛮好的,1
我喜欢这个牌子的衣服大牌就是大牌质量好所以就多买几条,1
穿在身上掉色严重连续盐水泡了1天洗了之后穿身上还是掉色质量真的差差到家了,0
质量非常差不值这个价,0
人生第一次写差评狗屁标准码买来差两个号的码子呵呵我说我不换了再买一条大点的能不能优惠嘿说好的送两双袜子呢,0
面料不错 大小合适 穿上很舒服 质量很好,1
还行没有想象的好,0
衣服洗 两次衣服变长了就像弹簧 松松的不好 非常差本人不建议大学购买,0
粘毛毛 裤子起折 吸尘,0
面料舒适度：裤子很好呢这是买的第二条了价钱便宜质量优质服务一流何乐不为呢好评,1
裤子面料不错线头少满意的一次购物,1
这是在京东买的最差的一次购物送到的裤子跟网上的差好多然后还有送货又慢十九号买的今天下午先到我同一天买的衣服人家两天就到了服务态度又不好,0
跟实物相差太大面料也差值不到这个价将就穿吧,0
你不错啊有点小巧很好真维斯的裤子我是超级喜欢我想你做的很不怎么地,1
面料太差 不喜欢 以后要看清楚再买,0
最喜欢花花公子的牛仔裤买了好几条了质量好穿着舒服,1
真拟吗草了布料差算了味道你马币的酸的都以为屋里撒了一瓶子醋味道差也算了槽你吗裤腿子长裤口大算怎么回事佬子也没时间给你退了今天就骂你让你记住谁不信的赶快低价买件到时跟我一块来骂,0
买了3件这件要着重说下深墨绿和花灰的质量可以的就这件白色的特别薄超薄我感觉不是同一款的说句实话乳头都看得到你说这样的衣服真的穿到街上吗我可不敢别被人笑死了差评~,0
定两条来一条说漏发了等补送,0
感觉还不错不知道洗洗怎么样,1
码数偏大 刚好一身的码子穿着像道袍差评不解释还2件一样,0
质量太一般样子太老,0
不错质量好穿着舒服也好看穿着很精神,1
裤子质量好不打褶面料不错物超所值,1
让人气愤商品介绍是秋冬加绒的发货是夏天的眼睛有问题吗,0
虽然裤子比较薄但是很贴身面料不错穿上很舒服,1
衣服还行里面是我喜欢的格子,1
布料柔软 版型很正 根据评论数选的裤子没让人失望 好评,1
之前在这家店买过裤子给爸爸买的爸爸穿上特别有型布料很舒服整体都很棒这次给男朋友买裤子果断选择这家店的相信不会让我失望的今天收到裤子忍不住赶紧让男朋友试了试穿上刚好不得不说我的眼光好啊这么好的店值得推荐,1
一般般没形,0
真的一颗心都不想给货刚到我就申请退换了 别人家最多一个礼拜就给解决了你们家一直在审核到最后还是没答复,0
简直就是个雨衣你们物流和你们的衣服我简直无力吐槽一股字瞥,0
衣服试了一哈有一点点偏小其他都还不错,1
不好 穿着不舒服,0
这做工100%小工坊出品,0
退货了没有订单号退不了,0
裤子真的超赞 不论是材质还是样式 物超所值 推荐大家购买 现在穿季节正好,1
衣服非常大气超划算特显身材客服真的没话说超好亲和力谢谢啦还会光顾,1
质量是我想要的男票穿着正好下次有机会还来,1
没有弹性线头多不怎么样,0
宝贝终于收到了开始被物流公司发错了物流公司耐心的给找到了宝贝很合适大小也好,1
货到就穿了2次 第一次掉色掉毛很严重 也就算了 洗过 第二次穿一上午直接坏掉什么玩意 这么垃圾的东西也拿出来,0
裤子不错穿着舒适有点弹性,1
小了我告诉客服腰围她们说她们只按号号很迷人钱也迷去了,0
颜色不行跟图不一样差,0
掉色很严重,0
很不错大小也很合适客服也很好,1
不满意都起毛了有点白,0
已经洗水过了一直买这个男朋友说还不错,1
裤子很好看 弹性也不错 穿着很舒适,1
质量不错面料也很好满意的一,1
货收到啦穿上还不错挺好看的不知掉色不掉穿段时间再说,1
裤子还行大小合适人比较胖不沾灰好打理,1
裤子可以但说送皮带我没收到骗人,0
掉色很严重不很不满意,0
这个也是快递十一天什么快递能这么慢我也是醉了一颗心,0
什么鬼商品色差严重明明是商品的问题退货还要买方出运费买的人请慎重考虑,0
非常完美的购物体验裤子质量很好,1
裤子质量挺好就是码数偏小裤子偏瘦,1
描述和实际尺寸严重不符这样的裤子谁能穿换了一次还是短的发给我对这家实在无语了送人了懒得再换再也不来这家店了估计是专门造假的店买家注意了啊,0
店家发货迅速包装仔细满意；做工挺好的大品牌确实不错非常满意5分好评,1
差居然把颜色都搞错品质也是邮递特慢,0
*一条刚刚才买还没穿上就特价*了,0
牛仔裤质量一般号码非常不标准双十一买三赠一就买了三条323334号各一条我平常穿32的收到后试了试32的穿着小33号穿着正好34的穿着也小通过对比34的比33的还小34和32的差不多商家以款式不同所以同号码的大小尺寸不一样为由拒绝换货经过几次协商终同意换但垫付的*收到换回的34号牛仔裤试后感觉和33号差不多一看标签却发现是原33号标签将号码剪去重新印的34号原来的33还残留着右上角联系客服后又是让垫付运费寄回换货一句正式的解释都没有这么明显弄虚作假欺骗消费者的行为反映给京东后只说让联系客服也没有处理意见真让消费者心寒啊,0
一星是给快递小哥的这衣服的质量才多久我尽无言以对,0
刚买完没几天就玩活动第二条好评返现*玩半价还必须一次性购买这是坑之前的客户吗下单的时候显示的有赠品腰带也没给居然变成了两条才送好牛变相的花钱买好评购买者请谨慎,0
颜色有差异 不理想,0
很漂亮质量很好样式喜欢非常舒服卖家服务态度好发货很快五分,1
物流差评差评,0
第一次在京东买裤子物流快价格实惠店家服务很好以后就在这家店了,1
质量很好做工精良穿着很舒适买的很超值非常喜欢老板人不错发货快物流也很给力呢五分好评,1
逼崽子快递慢的要死无论是什么通都**一样商品还行就是这逼快递再用这种逼快递发货差评还会多,0
不好假货买来没穿就送人了,0
款式不错大小合适穿着很舒服手感确实不错店家服务态度也不错,1
质量不错款式好看穿着舒适合体满意 好,1
质量好的没话说颜色也很正关键是这价格也太便宜了跟我在商场买的差不多老公很喜欢下次再来,1
还可以就是给个M号有点大,0
外套收到了面料不错老公很喜欢穿着也舒服实在棒棒哒,1
活动时给老公买的两条质量很好是正品先屯着以后穿,1
衣服质量不错尺码也合适当然最主要的还是很舒适喜欢,1
宝贝今天收到了颜色厚度都很好尺寸发的也是对的并且还赠送了小礼物今年冬天爸爸就要穿它了挺厚实的以后有需要还会光临本店的,1
差评码数不对偏大这么大个牌子码数就不能正常点吗,0
我靠好像是旧的还有点脏下次再也不来了,0
物流很快收到打开一看裤子质量也非常好没有任何问题穿着也很合身舒服非常满意的一次购物下次还要光临谢谢,1
裤子版型不错面料手感很好穿着挺合身的,1
衣服很好家人也满意物流也很快可是没赶上做活动优惠券更大希望下次有活动通知一下以订阅,1
一点都不修身,0
早知如此就不买了刚洗完越来越长了还有很多小球球,0
垃圾的商家 垃圾的京东 没有按承诺的发货 买4条比买2条单价贵*条 还严重退色 买4条承诺送2条皮带4双袜子 没有兑现承诺收到只有4条裤子赠品就没有了催了10天才补发赠品 补发的赠品也没有按承诺补发,0
尺码也合适 面料挺舒服的 这次购买挺划算的质量也挺好的宝贝很喜欢给个好评,1
穿着中午在床上睡了一觉下午就不能穿了粘的全是毛毛,0
裤子很不错买给男朋友穿的他很喜欢会回购,1
收到的跟照片的根本不是一样而且裤脚好大穿上就跟七八十岁的老大爷一样165的也长出好多直接可以拖地的也就没有下次了我也是醉了,0
裤子还可以没有想象的好也就值90多块钱,1
花花公子品牌就是不一样穿着得体舒适希望京东和花花公子多做一些这样的好产品,1
还可以吧穿起来也行,0
物流很快前几天就到了忘了去拿质量杠杠的男朋友穿上很好看哈哈,1
衣服穿起来身上好痒好痒,0
垃圾裤子4天不到 才穿了两次 扣子就掉了怎么感觉用胶水粘上去的,0
裤子很柔软顺滑穿着也很舒服值得拥有,1
哈哈折扣时候买的挺好的面料挺好的,1
一般般啦也就这样吧网购要慎重,0
一直信赖花花公子做工相当棒穿着舒服送货速度快弹力挺大的打算再买一条比想象的好多了,1
垃圾垃圾垃圾垃圾中的拖拉机垃圾垃圾垃圾垃圾中的拖拉机垃圾垃圾垃圾垃圾中的拖拉机垃圾垃圾垃圾垃圾中的拖拉机垃圾垃圾垃圾垃圾中的拖拉机垃圾垃圾垃圾垃圾中的拖拉机,0
东西收到了试穿了一下虽然拍大了一个码但穿起来也不是很大摸了一下质量还不错,1
尺码不符标准严重掉色勿拍,0
质量差掉色还不是七分裤,0
太差了跟图片不一样,0
不满意是挂羊头卖狗肉我要求换一件因为在网上购的给收到的颜色和网上一不样商家说都是这样那你期诈消费者我要求京东平台要给消费者负责请消费者还是网上福建石狮发出来任何物件东西百分之八十都假货,0
质量不错 物流也很给力 东西很赞,1
穿着很舒服很合适做工很精细质量也不错个人很满意值得推荐,1
嗯裤子很漂亮穿着质量很舒服而且质感还很好嗯现在现在穿刚刚好好评很满意的一次购物,1
很帅气的裤子男士选裤子犹豫的就选它吧百搭裤子质量很好朋友们小伙伴们见到都说非常好选裤子以后就来这家啦,1
非常满意裤子裤脚柔软舒适穿起来超级舒服很开心的一次购物下次还会再来光临的已经收藏店家了呦,1
裤子收到了 给老公买的他很喜欢 做工精细 质量挺好,1
质量差 一层薄布特别不好千万别买千万别买差评,0
地摊货完全是忽悠人的客服态度还超级差牛逼哄哄的买了垃圾还受气,0
看的时候是全黑的得到的时候是条花的这也没什么主要是裤腿太长了根本穿不了,0
裤子很好哦感觉料子也很不错穿起来休闲有气质,1
还没穿洗第一次掉色厉害,0
速度很快哟服务态度倍儿好超级喜欢挺瘦身的 阔以显出我滴大长腿 嘿嘿超级喜欢哟,1
老公很喜欢 不错质量很好很满意,1
垃圾 有问题不及时处理,0
材料非常好摸上去特别柔顺一看就是那种好布料也非常有弹性适合春秋天气穿做工非常细致仔细看了下没有什么线头老板服务也不错物流也快点个赞整体来说裤子性价比较高总体来说这是次满意的购物体验祝店家生意兴隆,1
都是在卖照片 和实物差别很大,0
不好意思过了这么多天才评价不过牛仔裤真的穿起来很舒服也没有太紧洗起来也不掉色家里人也说很好看真心棒,1
质量太差我觉得你们**,0
感觉不是很好很多的线条漏出来,0
质量很不错无色差,0
我老公穿了以后全身过敏以前从来没过敏过真怀疑这裤子里有什么化学成份在,0
宝贝很好 给爸爸买的 爸爸很喜欢 穿上显年轻 爸爸很开心 我也很开心,1
不好我是不好穿也懒得退给别人了,0
衣服已收到了跟网上的图片比有点差距不过还算可以,1
物流太慢尺码不对我要的28给我发29差评,0
速度快的没话说东西也不错挺理想的,1
穿上很舒服面料不错蛮好的,1
裤子非常不错质量好这个价钱我估计外面绝对买不到这么好的裤子物流超级快简直就是说曹操曹操就到客服态度超级好有问必答没说的全5分,1
尺码严重不符我买的还是最小号居然还又粗又长布料也不好直接当抹布了,0
不但有点大而且和图片不符,0
好评啦还会回购哒链接已分享啦,1
是我想要的颜色好看舒服宽松型性价比高,1
裤子质量没的说啊 简直太棒了 我朋友说穿着很舒服 喜欢的朋友可以优先考虑呦 物流很快 两天就回来了,1
说话不算以后在也不在这家网店上卖东西,0
非常失败的一次购物色差太大质量也不行,0
不错主要是弹力大老公开车比较喜欢质量也很好 掉色啥的问题 暂时没有出现,1
裤子质量不错爸爸很喜欢快递也很快啊很满意,1
我给你们说那都是什么快递员还给我来个不认识路让我自己取啥意思我自己从西安跑到咸阳取个快递,0
质量不错做工精细料子很好穿上很舒服没有色差卖家服务态度很好我很满意,1
老公穿着说有些刺穿着不舒服做工一般衣服听客服的买大了TT 我是说29就可以了客服非说超市里的码子偏大,0
裤子很合身质量很符合起价格颜色也不错客服也不错良心商家很不错哦,1
尺码不对颜色也不对能不能放,0
衣服腋窝后部有些紧还有就是领子里面多那么一块不方便总是自己翻一下,1
服务差换货慢换都会换错,0
通过这次的购物感到网络虽方便但真的不真实    裤子褪色非常严重而且布料硬实    代表我的心情,0
衣服很不错已经第三次购买了,1
裤子穿着合身舒服 颜色一致,1
牛仔裤质量真的很不错弟弟很喜欢没有色差之前因为问了客服尺码真的很正靠谱下次有需要一定会再次光顾的,1
衣服的质量不错摸着手感不错大小跟款式我也都很喜欢穿着很舒服价格便宜满意,1
物流很快拿到货看了后很满意,1
宝贝收到了物流不是一般的快穿着很舒服洗了也没有掉色老板服务态度很好十分满意的一次购物,1
以后再也不在网上买衣服了,0
裤子质量很好尺码也很准我已经光顾很多次了老公一直都说好老板服务态度很好物流给力,1
裤子买给男友的他看到挺喜欢的还说我有眼光哈哈暗暗开心了好久衣衣质量很好性价比高版型款式都很青春,1
严重差评粘毛的,0
可恶码数不对*这个来仍吗我要28的码你给30的我怎么穿你教教我你的店铺我还收藏了我也是醉,0
质量不好面料缩水厉害,0
旧旧旧旧 灰灰灰,0
我要的皮牌给我发的是深蓝别的到没什么颜色也很正的但是厂家这样可不好不知是发错还是没有皮牌,0
裤子颜色很好看啊料子摸着也很舒服呢很有型值得购买嗯,1
裤子质量很好真的不错款式也很漂亮,1
衣服很舒服穿上很修身版型也很好很显身材而且质量还不错以后需要还会再来的,1
非常不满意买之前给客服沟通了半天都没搞清我说的啥已经下过订单了每***买了俩件还有折扣等会再买就每件***了*** 欺骗消费者最差劲的一次购物气死我了完事收快递时候竟然还给我要***钱说什么他们派送上家,0
款式很上档次大少穿着合适做工很精致质量不错邮递给力非常满意特给予好评,1
很差很差衣服和图片上的差很远,0
布料太差,0
裤子质量不错卖家推荐的尺码正好面料穿着也舒服,1
货物很快就收到了 快递的确很快并且服务员也很热心拿到裤子以后迫不及待就试了一下 很不错的一条裤子 很满意 下次也还会再来的,1
裤子挺好的 料子舒服的质量也不错,1
红红火火恍恍惚惚 刚到的时候有点味道,1
售后服务态度极差表示以后不会在网购,0
衣服质量很好穿上很有型物流速度也很快,1
裤子超级好就是想象中的卖家的态度也很好物流也很快裤子的质量也不错,1
以前买的不加绒的质量还行今天买了加绒的质量还是一如既往的好还不褪色面料也很软值得入手,1
较薄和想的差不多就这价钱版型好显身材,1
掌柜的服务态度真好发货很快商品质量也相当不错太喜欢了谢谢,1
纠结了小了一号应该买175的纠结,0
裤子收到了非常好下次继续购买,1
第一次发货少了一条每二次发过来的和第一次的有色差不明白两款一样的裤子裤脚长度不同铭牌上的字体不同是什么原因难道这也有假货,0
垃圾衣服很长穿上去上身正好下身跟泥马裙子一样,0
东西还好就是号码不全买的有点大了,1
衣服一搬搬不是正品,0
裤子还是不能在网上买差别大啊,0
挺好的大小合适颜色适合价格也还可以不错的,1
当时买来看着挺好唯一感觉不好的就是料子薄但让人想不到的是它居然这么薄穿了两天裆部开线了亲们不要认为我是个胖子才撑坏的完全是这破裤子质量太差也不透气千万别买,0
真差,0
质量不错哦性价比很高谢谢客服的推荐,1
质量不是一般的差粘毛全是皱褶还有线头不值这个价,0
裤子很好一直买他们家东西码数正版型也好客服也很可爱,1
售后服务太差,0
裤子质量很好穿起来很修身上班穿起来靓靓的很舒服,1
收到衣服看了质量很好性价比高款式也不错值得购买,1
穿上还可以就是有点透尤其白色的质量还可以,1
裤子不错就是现在肚子又点大32的腰穿起来有点紧了,1
最不满意的一次购物物流慢到不行裤子质量也不好,0
裤子味道这么大质量这么差物流这么慢加绒呢加绒跑哪去了裤子还短了气炸,0
裤子的质量不错物流很快很满意有需要会再来,1
为什么不能零星,0
下次还是在京东购买这个品牌的衣服不错家人很喜欢,1
送货太慢了一个多星期来没到货,0
衣服掉色我才穿一天就把我坐垫染成了深蓝色不建议购买,0
裤子质量太差了还***发货速度超级慢快递员服务也不佳拿个快递还要花一块钱 各种不满意第一次在京东买这么差的东西,0
质量不错老公很喜欢 穿上很舒服,1
简直就是垃圾中的垃圾料子薄的要死还不如地摊上几十钱的货太keng爹了    送快递的还不让验货联系商家客服吧不说我要退货还有反应一说要退货就没反应了简直就是T妈的黑店,0
质量特别差掉色严重属于垃圾,0
很不错的牛仔裤很有弹性很喜欢,1
质量非常好穿着大小合适老爸很喜欢,1
刚买还没穿其它看着没啥缺点不错,1
很好的衣服手感做工都非常好,1
不怎么好不透气,0
想扔垃圾桶的,0
给哥哥买的穿上很合适宝贝很好当然好评了,1
不满意面料很薄真的很怀疑买的是假冒伪劣产品还有连个图标也没有,0
裤子还可以为什么我标明的发票没有呢能用点心吗,0
送个什么吗给我无语 两个我才能穿的下,0
穿着舒适质量不错物美价廉,1
面料不错样式很好看穿着大小合适穿着很舒服物流很快,1
质量不错很合身以后还来,1
垃 圾东西千万不要买买了后悔两边的线一扯就开,0
买了就感觉亏,0
跟图片不一样,0
质量非常差完全不值这个价买了两条黑色非常之粘毛穿一次基本不能穿二次妈的就是小作坊的料***黑心商家,0
裤子收到了感觉很满意穿起来很精神面料也很好适合上班族穿服务态度也很好下次还会再来,1
说是修身裤脚大的跟喇叭一样一星都不想给,0
刚刚穿上感觉还不错这个价位还可以,1
裤子的质量很好很不错挺喜欢的而且款式和样式都很好已经关注了店铺还会再来的,1
宝贝质量不错本人好喜欢卖家态度也不错很愉快的一次网购有需要还会光顾,1
不满意假货不是南极人正品牌子质量差衣服于图片中不符,0
衣服布料很好这个价格真的值,1
非常非常容易招毛显得特别脏颜色个图片差距蛮大的是那种暗黑和图片不一样感觉自来旧臀部有点发白望以后卖家慎重,0
没弹性质量差,0
垃圾发货都发不一样的来,0
质量挺不错的面料很好手感挺不错穿上很舒服穿着合身帅气,1
根本没有图片上的效果很差,0
颜色和实物不匹配样式也与照片不符合,0
为什么不开发票也没有人联系我下订单就备注难道你们没看到吗,0
裤子版型不错质量也挺好穿起来很好看过段时间再来追评,1
宝贝很快收到包装很不错没压坏做工很精细值得信赖,1
挺柔软的掉色的太严重,0
收到了物流炒鸡给力给家人买的牛仔裤是那种简单的款式上身效果也不错牛仔裤是白T搭配衣服最好的搭档咯帅帅哒,1
衣服有点小了就将就穿吧让客服帮我换大一号说我我可以穿收到一穿小了,0
什么裤子呀质量差的不行了一条裤子能有二十多个线头有的都走针了一个腿粗一个腿细真的质量太差了劝大家不要买上当呀,0
很好的卖家发货很快样式也不错效率蛮高的,1
这次买到垃圾东西了一味道特大二会褪色三手感特差最失败的购物,0
看图右拉链全是线头明显被什么划伤过本来还不错的衣服被这线头毁了 细节决定成败,0
太黑暗了色差那么大还起毛比路边摊的都差京东的东西越来越差了,0
朋友穿起来很合身啊很喜欢啊看起来很帅气赞,1
质量还行可是我买大了,0
裤子的材质和看见的图片完全不一样买来都穿不出去,0
款式不错质量很好没有色差尺码标准很满意,1
裤子保暖质量好值得购买,1
恶心一股子酸死颜色还不符大家顶上去让所有人看到,0
什么叫地摊货这就是草,0
东西不错貌似号要稍微大点是棉的物流也快应该是年后第一波吧,1
裤子很好质量太好了手感不错是纯棉的颜色也没有色差包装也非常高大上的感觉太满意啦,1
裤子不错很喜欢物流也很快客服服务态度非常好这次购物非常愉快绝对要赞赞赞赞赞好评,1
为毛两件样的这件就跟地摊上39一条一样洗衣机都被你染黑了靠什么玩意,0
经济实惠质量很好物超所值了,1
裤子很合适穿起来很好看而且质量真的不错这个价钱算是赚到了喜欢的赶紧下手吧,1
个人很喜欢很满意服务也不错,1
东西不错性价比可以下次会考虑购买,1
很满意的一次购物很不错的宝贝这样的价格实惠质量不错穿着舒适物有所值啊五分好评,1
很不错物流非常快而且质量也还可以这价买三值,1
直接差评差评,0
去tm的黑心商家穿一次就烂了草,0
很失望很失望很失望裤子掉色起球还严重缩水差评差评差评,0
假货不知道发了个啥牌子的而且尺码不对无语了,0
不好不值那个价格,0
真不好不满意太大颜色不一样穿上去想个傻子希望大家伙不要上当,0
宝贝不错很好穿快递很给力快递小哥态度很好赞,1
比想象中的薄了一些和我其他牌子的尺寸有差异瘦了一些春秋穿可以冬天就差了一些央视比较不错,1
衣服质量很好也便宜打底最合适纯棉的穿上很舒服,1
穿着不舒服 粘毛,0
东西到了也没人通知联系客服没人理差评差评,0
没第一次买的好,0
裤子质量很好价格实惠颜色很正没有色差老公穿起来很帅气很喜欢,1
质量不错 穿上挺合适的 面料摸起来也舒服,1
衣服尺码偏小穿在身上有点紧尤其是肩部与胸部质量一般透气性差卖家服务不热情买件衣服发错尺码给我我换货运费迟迟不退给我现在找客服既然天天在忽悠我,0
垃圾货洗几次裤子了水还是像墨水那么黑第一次洗的时候4桶水都是黑的退色得也太历害了再也不买了质量又差感觉被坑了,0
经过我的亲身体验这家店信誉是相当地不错宝贝的质量更像钻石一般太感谢了,1
快递寄到时间非常快而且客服服务态度很好可以耐心解答最重要是裤子穿起来舒服没其他裤子一样那么邋遢赞,1
非常好物美价廉老公很喜欢穿上很帅质量也不错总之全五分一次买了两件儿感觉不错以后会经常光顾,1
*ω*快递的速度哦还行裤子的质量也可以布料挺不错的很满意的一次购买谢谢店家,1
裤子很不错 合身 质量也好 快递速度蛮快的隔天到 包装也精致 穿起来舒舒服服的 老帅了,1
买了两条说好的送皮带没有送,0
裤子收到了 还挺不错噢,0
我明明购买的是黑色裤子结果送来变成黄色的裤子我要求给我换回来商家就是卖裤子的居然说难道我们会弄错吗诚信度是这么的差而且明明发错了我还拍照给他商家要求换裤子的颜色商家叫我做什么什么的反正就是在拖延要么叫你在网上点什么什么的根本就没有的东西叫我点我对在这家卖裤子的商家十分的绝望京东的其他商家都好为什么会出现这样的无赖付款后我们买东西的都变成没有价值的没有什么还值得与我们说话了可恶的东西,0
很一般起毛跑线看上去不像新的有点感觉地摊货,0
送货的速度超出了想象不是一般的慢啊比蜗牛还慢,0
质量不好穿了衣服黑色粘在皮肤上,0
衣服收到了我是最不喜欢评价的还没有试穿,1
不怎么好很粘毛穿一次就没穿了,0
像我这样的胖子能穿还穿出型来了可以,1
物流很快衣服质量挺好的纯棉的穿着舒服,1
裤子质量很恨很好不错有弹性洗了不掉色,1
裤子非常好很满意 准备再给家里人买几条 很满意的一次网购 以后买裤子就来这家店买 质量挺好的价格也实惠,1
快递太慢送到包装都挤压变形了 还好是裤子如果是其他东西不敢恭维了 商品还好唯一不满意的就是不能用皮带,0
码子不正太大了不值这个价再也不在京东买衣服了跟图片差还了,0
实物和图片一样的棒非常满意的一次网购面料不错谢谢店家哦,1
刷单都不止*现在有问题你特么跟我讲好评返现*搞笑呢    同一款你特么分两个SKU还是想分更多 明明你就一款产品 你上架两款    明明没有的东西你上更多,0
6月27号拍的衣服7月1号晚上才到我真无心吐槽快递的速度可这事让人不可接受衣服还可以有发票质量可能还不错吧还没试穿,0
做工精致性价比高穿着舒服款式不错,1
毛线小脚裤桶裤还差不多,0
不是很好还挺贵的,0
穿着很舒服也很好看布料也相当不错外观漂亮效果好,1
快递太慢磨叽,0
裤子版型很好 穿起来很舒服这个价位买条男士的裤子物美价廉了,1
不错不错很喜欢质量也好感觉挺好的家里人都说好个人感觉挺值的下次再光临店铺,1
这裤子穿着就是受罪舒适感为零,0
裤子收到了质量非常的好大小也挺适合 面料是薄款的穿着非常的舒服5分好评,1
很不好真的就跟旧的一样,0
质量不错就是线头略多一点感觉可以做得更好的,1
裤子很修身穿起来感觉挺好的轻柔软的面料很柔软很有弹性强烈安利一下,1
买三条裤子钱付了只发来两条跟客服说了快十天了还没给我补回来差评,0
款式很喜欢穿上很好看服务热情发货快不错不错,1
垃圾中的战斗机一穿及坏赶紧是全麻的和粮站麻布一样粗糙,0
衣服款型合身材质柔软全棉的哦穿起来很舒服关键是衣领好象不会变形,1
很好的宝贝哦轻便柔软又保暖面料也好的觉得穿上后很瘦个子都高挑了很多包装的很好服务很热情全五分好评,1
大牌子质量好好布料好舒服做工不错穿上大小合适,1
裤子质量很好客服服务态度也很好快递也很快好评下次再来光临,1
买的深灰色以为跟图片颜色相差无几实际这深灰深得跟黑色傻傻分不清楚,0
裤子收到了发货很快裤子质量不错穿起来很直厚度适中颜色也很好搭上班穿很不错,1
我和客服说我174150斤客服推荐买L号结果穿在身上跟裙子一样号码严重偏大偏肥,0
超喜欢~按模特的标准买的~太T M性感了~衣服真心舒服~就是老班的衣服裤子会掉色~洗两次就明显得很~纯棉的就这样吧~老顾客了~支持一下,1
我买了两条裤子一条的颜色是正确的而另外一条我买的是慕尼黑色却给发的是黑色再就是裤子的做裤兜上方有花花公子的图标但是给我发的裤子上没有是不是假的有一种上当受骗的感觉,0
真的很不错值得购买哦 快动手吧,1
